,moc_id,tow_id,cruise_number,date_time,date,station_number,time,depth_m,temp_DegC,sal,net_angle,record_number,V10,V11,time_bins_in_sec,net_number
1,TC8604_2_1,TC8604_2,8604,6/24/1986 23:00,6/24/1986,2,23:00:46,2,25.75,34.81704,66,9,0.02672428,-0.001448471,24.87764,1
2,TC8604_2_1,TC8604_2,8604,6/24/1986 23:00,6/24/1986,2,23:00:50,4,25.8,34.81513,63,9,0.02672428,-30.00733,24.87764,1
3,TC8604_2_1,TC8604_2,8604,6/24/1986 23:00,6/24/1986,2,23:00:54,3,25.8,34.82279,53,10,30.75751,15.00366,27.14444,1
4,TC8604_2_1,TC8604_2,8604,6/24/1986 23:00,6/24/1986,2,23:00:58,3,25.81,34.81518,55,11,61.51502,0,29.73428,1
5,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:02,3,25.8,34.82279,55,12,61.51502,0,32.52092,1
6,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:06,4,25.79,34.8301,60,13,61.51502,-15.00366,35.33615,1
7,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:10,6,25.8,34.82186,64,13,61.51502,-30.00733,37.9098,1
8,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:14,8,25.79,34.82149,63,14,30.75751,-30.00733,41.17552,1
9,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:18,9,25.79,34.81383,61,14,30.75751,-14.97624,44.17847,1
10,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:22,11,25.78,34.82818,59,15,30.72937,-30.00733,47.6741,1
11,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:26,13,25.77,34.82783,60,16,61.51502,-30.00733,51.33843,1
12,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:30,15,25.77,34.81984,61,16,61.51502,-30.00733,54.96557,1
13,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:34,16,25.77,34.81953,58,17,30.75751,-15.00366,58.49971,1
14,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:38,18,25.75,34.82678,63,17,30.75751,-30.00733,62.05303,1
15,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:42,20,25.73,34.81933,58,18,30.75751,-30.00733,65.79243,1
16,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:46,22,25.72,34.82633,63,18,30.75751,-29.95247,68.79218,1
17,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:50,24,25.72,34.82571,63,19,30.72937,-30.00733,72.34551,1
18,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:54,25,25.72,34.8254,56,19,30.72937,-15.00366,75.50041,1
19,TC8604_2_1,TC8604_2,8604,6/24/1986 23:01,6/24/1986,2,23:01:58,27,25.72,34.82478,60,20,30.75751,-30.00733,79.16473,1
20,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:03,29,25.72,34.83151,60,20,30.75751,-23.98829,82.22878,1
21,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:06,31,25.73,34.81591,58,21,30.75751,-40.05868,85.96819,1
22,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:10,33,25.72,34.82291,59,21,30.75751,-30.00733,89.05438,1
23,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:14,34,25.72,34.82259,59,22,30.75751,-15.00366,92.75613,1
24,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:18,36,25.72,34.81462,56,22,30.75751,-29.95247,95.91103,1
25,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:22,38,25.69,34.82214,56,23,30.72937,-30.00733,99.72654,1
26,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:26,40,25.63,34.85259,60,23,30.72937,-30.00733,102.7906,1
27,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:30,42,25.56,34.83909,55,23,30.72937,-30.00733,105.9692,1
28,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:34,44,25.54,34.84639,58,24,20.50501,-30.00733,109.2831,1
29,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:38,45,25.5,34.84715,62,24,20.50501,-15.00366,112.304,1
30,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:42,47,25.13,34.93843,56,25,30.75751,-30.00733,115.4589,1
31,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:46,49,24.72,34.98758,56,25,30.75751,-29.95247,118.6138,1
32,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:50,51,24.27,35.06162,59,26,30.72937,-30.00733,122.3155,1
33,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:54,53,24.15,35.06515,57,26,30.72937,-30.00733,125.4471,1
34,TC8604_2_1,TC8604_2,8604,6/24/1986 23:02,6/24/1986,2,23:02:58,55,24.14,35.05737,55,26,30.72937,-30.00733,128.8288,1
35,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:02,56,24.15,35.05668,58,27,20.50501,-15.00366,131.9375,1
36,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:06,58,24.15,35.04853,58,27,20.50501,-30.00733,135.0463,1
37,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:10,61,24.06,35.07324,59,27,20.50501,-45.01099,137.723,1
38,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:14,63,23.93,35.06972,57,28,20.50501,-30.00733,141.0591,1
39,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:18,65,23.86,35.13932,58,28,20.50501,-29.95247,144.3731,1
40,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:22,67,23.77,35.10435,58,28,20.50501,-30.00733,147.2616,1
41,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:26,69,23.63,35.16927,57,29,20.4925,-30.00733,150.8022,1
42,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:30,72,23.55,35.17137,58,29,20.4925,-45.01099,154.3214,1
43,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:34,74,23.35,35.15583,52,29,20.4925,-30.00733,157.2573,1
44,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:38,75,23.33,35.13358,49,30,20.50501,-15.00366,160.7875,1
45,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:42,77,23.22,35.16756,51,30,20.50501,-30.00733,164.2661,1
46,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:46,79,23.05,35.24211,51,30,20.50501,-29.95247,167.0109,1
47,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:50,80,22.9,35.21002,49,31,20.4925,-15.00366,170.1401,1
48,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:54,80,22.89,35.18003,42,31,20.4925,0,173.0677,1
49,TC8604_2_1,TC8604_2,8604,6/24/1986 23:03,6/24/1986,2,23:03:58,81,22.89,35.17209,42,32,30.75751,-15.00366,175.9953,1
50,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:02,81,22.87,35.18053,43,32,30.75751,0,178.4931,1
51,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:06,82,22.86,35.18062,42,33,30.75751,-15.00366,181.6828,1
52,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:10,82,22.85,35.16582,41,33,30.75751,0,183.8385,1
53,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:14,82,22.79,35.19115,42,34,30.75751,0,186.8279,1
54,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:18,83,22.79,35.18321,44,34,30.75751,-14.97624,188.8966,1
55,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:22,83,22.77,35.18406,41,35,30.72937,0,191.9296,1
56,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:26,83,22.77,35.18406,40,35,30.72937,0,193.9138,1
57,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:30,84,22.75,35.17694,42,36,30.75751,-15.00366,196.9033,1
58,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:34,84,22.73,35.18541,42,37,61.51502,0,199.8928,1
59,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:38,85,22.72,35.18549,43,37,61.51502,-15.00366,202.8389,1
60,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:42,86,22.69,35.20167,46,38,30.75751,-15.00366,205.8561,1
61,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:46,87,22.58,35.21369,47,38,30.75751,-14.97624,209.0306,1
62,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:50,89,22.4,35.26674,47,38,30.75751,-30.00733,211.614,1
63,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:54,90,22.16,35.33862,49,38,30.75751,-15.00366,213.5796,1
64,TC8604_2_1,TC8604_2,8604,6/24/1986 23:04,6/24/1986,2,23:04:58,92,22.05,35.25096,43,39,15.37172,-30.00733,216.6777,1
65,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:02,93,21.85,35.25992,45,39,15.37172,-15.00366,218.8977,1
66,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:06,95,21.76,35.26347,46,39,15.37172,-30.00733,221.3036,1
67,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:10,96,21.72,35.23426,45,40,20.50501,-15.00366,224.3436,1
68,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:14,99,21.67,35.32802,49,40,20.50501,-45.01099,227.6733,1
69,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:18,100,21.62,35.25305,50,40,20.50501,-14.97624,230.0277,1
70,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:22,102,21.51,35.29622,47,40,20.50501,-30.00733,232.6201,1
71,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:26,104,21.44,35.33758,47,41,15.37172,-30.00733,236.004,1
72,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:30,106,21.26,35.33044,47,41,15.37172,-30.00733,238.7965,1
73,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:34,108,21.07,35.26192,45,41,15.37172,-30.00733,241.4165,1
74,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:38,109,21.04,35.30958,47,41,15.37172,-15.00366,244.009,1
75,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:42,111,20.97,35.28146,47,42,15.37876,-30.00733,247.3928,1
76,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:46,114,20.77,35.47749,50,42,15.37876,-44.92871,250.1487,1
77,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:50,117,20.63,35.31261,51,42,15.37876,-45.01099,253.0946,1
78,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:54,119,20.45,35.22806,49,42,15.37876,-30.00733,256.0626,1
79,TC8604_2_1,TC8604_2,8604,6/24/1986 23:05,6/24/1986,2,23:05:58,120,20.2,35.55414,49,42,15.37876,-15.00366,259.0307,1
80,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:02,122,20.18,35.24148,47,42,15.37876,-30.00733,259.0307,1
81,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:06,125,20.01,35.40634,48,43,10.24937,-45.01099,262.0107,1
82,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:10,127,19.82,35.37726,51,43,10.24937,-30.00733,264.7555,1
83,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:14,127,19.7,35.15667,48,43,10.24937,0,267.1347,1
84,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:18,130,19.65,35.17405,50,43,10.24937,-44.92871,269.8906,1
85,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:22,131,19.67,35.11776,49,44,15.37172,-15.00366,273.2203,1
86,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:26,134,19.67,35.17149,50,44,15.37172,-45.01099,275.7754,1
87,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:30,134,19.55,35.11553,47,44,15.37172,0,277.9676,1
88,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:34,137,19.53,35.11558,50,45,20.50501,-45.01099,281.4718,1
89,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:38,138,19.48,35.11015,51,45,20.50501,-15.00366,284.5482,1
90,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:42,140,19.36,35.10054,47,45,20.50501,-30.00733,287.1407,1
91,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:46,141,19.31,35.15014,50,46,20.4925,-14.97624,290.0426,1
92,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:50,144,19.22,35.09134,52,46,20.4925,-45.01099,293.4962,1
93,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:54,145,19.12,35.1046,46,46,20.4925,-15.00366,295.9021,1
94,TC8604_2_1,TC8604_2,8604,6/24/1986 23:06,6/24/1986,2,23:06:58,147,19.08,35.09044,48,47,20.50501,-30.00733,299.2586,1
95,TC8604_2_1,TC8604_2,8604,6/24/1986 23:07,6/24/1986,2,23:07:02,148,18.97,35.04923,46,47,20.50501,-15.00366,302.4702,1
