sample_record_identifier,source,date_searched,search_engine,search_terms,type_of_record,language,where_in_text?,doi,specimen record,paper title,life_stage,further_description,uku_present_absent,region,island,site,station,habitat_type,latitude_start_dd,longitude_start_dd,latitude_end_dd ,longitude_end_dd ,dms_or_dd,collection_date,collection_month,collection_day,collection_year,cruise_dates,ship_name,cruise_number,sampling_method,sampling_method_mesh_size_um,sampling_method_net_area_m2,sampling_method_net_diamteter_m,sampling_method_net_length_m,sampling method_tow_speed_no_unit,sampling method_tow_speed_unit,sampling_method_tow_time_minutes,sampling_distance_km_per_net_from_distance,sampling_distance_km_per_net_from_time,sampling_method_notes,day_night,collection_depth_m_min,collection_depth_m_max,max_cast_depth(m),number_of_individuals,tow_id,number_of_uku_per_Vm^3,V_in_m^3,whole_part_or_DNA?,specimen_location,collected_by_person,identified_by_person,identified_by_insitiution,spawn_peak,avg_fork_length_mm_from_lot,length_mm,length_type,indiv_fork_length_mm,avg_standard_length_from_lot,indiv_standard_length_mm,indiv_total_length_mm,estimated_age_days,growth_model_used,visual_of_larvae,link_to_paper,community_composition,distance_to_shore_nm,prey_items_present_Y_N,which_prey_items,link_to_cruise_ctd_metadata,ctd_latitude,ctd_longitude,ctd_coord_type,ctd_date,notes,temp_at_colllection_depth,sal_at_depth,min_possible_temp,max_possible_temp,do,bottom depth_m,bottom_depth_method,number_of_nonuku_individuals_from tow
770802_1,each indiv record from Clarke's Notes,11/08/2021,NA,"""aprion""",raw data sheet,English,notes,clarke 1991,none,personal notes: TA CLARKE,larv,none,1,Main Hawaiian Islands,Oahu,Waianae Coast,770802,pelagic,21.246870000,-158.25000000000,21.5,0,dmm,08/10/1977,8,10,1977,between August 1977 and October 1978. Most cruises were within 1-2 days of new moon of each lunar month during the period.,R/V Kana keoki,Kana_Keoki_1977,IK,6000,,,3.05,2,m/s,110,,3666.666667,"""shallow night 10' IK trawl tows. Launch and tow@ CA 2M/sec. Wire out to 900M @10m/min. Retreival @CA 1M/sec and ca 50m/min""",night,0,unknown,330,1,R/V Kana keoki_8/10/1977_770802_night,3,96340,whole,unknown,T.A. Clarke,T.A. Clarke,PIFSC,6,NA,4,TL,NA,NA,NA,NA,NA,NA,"none, only notes",Don Kobayashi notes,NA,NA,NA,NA,,,,,,"collection site info from Clarke 1991,individuals per volume is total number of uku per a given towdividied by water volume of that tow",,,,,,-2000,publication,
770802_2,each indiv record from Clarke's Notes,11/08/2021,NA,"""aprion""",raw data sheet,English,notes,clarke 1991,none,personal notes: TA CLARKE,larv,none,1,Main Hawaiian Islands,Oahu,Waianae Coast,770802,pelagic,21.246870000,-158.25000000000,21.5,0,dmm,08/10/1977,8,10,1977,between August 1977 and October 1978. Most cruises were within 1-2 days of new moon of each lunar month during the period.,R/V Kana keoki,Kana_Keoki_1977,IK,6000,,,3.05,2,m/s,110,,3666.666667,"""shallow night 10' IK trawl tows. Launch and tow@ CA 2M/sec. Wire out to 900M @10m/min. Retreival @CA 1M/sec and ca 50m/min""",night,0,unknown,330,1,R/V Kana keoki_8/10/1977_770802_night,3,96340,whole,unknown,T.A. Clarke,T.A. Clarke,PIFSC,6,NA,4.5,TL,NA,NA,NA,NA,NA,NA,"none, only notes",Don Kobayashi notes,NA,NA,NA,NA,,,,,,collection site info from Clarke 1991,,,,,,-2000,publication,
770802_3,each indiv record from Clarke's Notes,11/08/2021,NA,"""aprion""",raw data sheet,English,notes,clarke 1991,none,personal notes: TA CLARKE,larv,none,1,Main Hawaiian Islands,Oahu,Waianae Coast,770802,pelagic,21.246870000,-158.25000000000,21.5,0,dmm,08/10/1977,8,10,1977,between August 1977 and October 1978. Most cruises were within 1-2 days of new moon of each lunar month during the period.,R/V Kana keoki,Kana_Keoki_1977,IK,6000,,,3.05,2,m/s,110,,3666.666667,"""shallow night 10' IK trawl tows. Launch and tow@ CA 2M/sec. Wire out to 900M @10m/min. Retreival @CA 1M/sec and ca 50m/min""",night,0,unknown,330,1,R/V Kana keoki_8/10/1977_770802_night,3,96340,whole,unknown,T.A. Clarke,T.A. Clarke,PIFSC,6,NA,,TL,NA,NA,NA,NA,NA,NA,"none, only notes",Don Kobayashi notes,NA,NA,NA,NA,,,,,,collection site info from Clarke 1992,,,,,,-2000,publication,
770803_1,each indiv record from Clarke's Notes,11/08/2021,NA,"""aprion""",raw data sheet,English,notes,clarke 1992,none,personal notes: TA CLARKE,larv,none,1,Main Hawaiian Islands,Oahu,Waianae Coast,770803,pelagic,21.246870000,-158.25000000000,21.5,0,dmm,08/10/1977,8,10,1977,between August 1977 and October 1978. Most cruises were within 1-2 days of new moon of each lunar month during the period.,R/V Kana keoki,Kana_Keoki_1977,IK,6000,,,3.05,2,m/s,110,,3666.666667,"""shallow night 10' IK trawl tows. Launch and tow@ CA 2M/sec. Wire out to 900M @10m/min. Retreival @CA 1M/sec and ca 50m/min""",night,0,unknown,335,1,R/V Kana keoki_8/10/1977_770803_night,1,78379,whole,unknown,T.A. Clarke,T.A. Clarke,PIFSC,6,NA,4.5,TL,NA,NA,NA,NA,NA,NA,"none, only notes",Don Kobayashi notes,NA,NA,NA,NA,,,,,,collection site info from Clarke 1993,,,,,,-2000,publication,
770808_1,each indiv record from Clarke's Notes,11/08/2021,NA,"""aprion""",raw data sheet,English,notes,clarke 1993,none,personal notes: TA CLARKE,larv,none,1,Main Hawaiian Islands,Oahu,Waianae Coast,770808,pelagic,21.246870000,-158.25000000000,21.5,0,dmm,08/11/1997,8,11,1977,between August 1977 and October 1978. Most cruises were within 1-2 days of new moon of each lunar month during the period.,R/V Kana keoki,Kana_Keoki_1977,large bongo,2500,1.22718463,1.25,,1.75,m/s,105,,3062.5,"""shallow night large bongo tows. launch and tow @ ca. 1.75m/s/ Wire out to 720m @8m/min. retreival @ca. 1m/sec and ca 50m/min.""",night,0,unknown,270,1,R/V Kana keoki_8/11/1977_770808_night,1,11301,whole,unknown,T.A. Clarke,T.A. Clarke,PIFSC,6,NA,5,TL,NA,NA,NA,NA,NA,NA,"none, only notes",Don Kobayashi notes,NA,NA,NA,NA,,,,,,collection site info from Clarke 1994,,,,,,-2000,publication,
780804_1,each indiv record from Clarke's Notes,11/08/2021,NA,"""aprion""",raw data sheet,English,notes,clarke 1995,none,personal notes: TA CLARKE,larv,none,1,Main Hawaiian Islands,Oahu,Waianae Coast,780804,pelagic,21.246870000,-158.25000000000,21.5,0,dmm,08/03/1978,8,3,1978,between August 1977 and October 1978. Most cruises were within 1-2 days of new moon of each lunar month during the period.,R/V Kana keoki,Kana_Keoki_1978,IK,6000,,,3.05,2,m/s,110,,3666.666667,"""shallow night 10' IK trawl tows. Launch and tow@ CA 2M/sec. Wire out to 900M @10m/min. Retreival @CA 1M/sec and ca 50m/min""",night,0,unknown,330,1,R/V Kana keoki_8/3/1978_780804_night,2,99081,whole,unknown,T.A. Clarke,T.A. Clarke,PIFSC,6,NA,3.5,TL,NA,NA,NA,NA,NA,NA,"none, only notes",Don Kobayashi notes,NA,NA,NA,NA,,,,,,collection site info from Clarke 1995,,,,,,-2000,publication,
780804_2,each indiv record from Clarke's Notes,11/08/2021,NA,"""aprion""",raw data sheet,English,notes,clarke 1996,none,personal notes: TA CLARKE,larv,none,1,Main Hawaiian Islands,Oahu,Waianae Coast,780804,pelagic,21.246870000,-158.25000000000,21.5,0,dmm,08/03/1978,8,3,1978,between August 1977 and October 1978. Most cruises were within 1-2 days of new moon of each lunar month during the period.,R/V Kana keoki,Kana_Keoki_1978,IK,6000,,,3.05,2,m/s,110,,3666.666667,"""shallow night 10' IK trawl tows. Launch and tow@ CA 2M/sec. Wire out to 900M @10m/min. Retreival @CA 1M/sec and ca 50m/min""",night,0,unknown,330,1,R/V Kana keoki_8/3/1978_780804_night,2,99081,whole,unknown,T.A. Clarke,T.A. Clarke,PIFSC,6,NA,4,TL,NA,NA,NA,NA,NA,NA,"none, only notes",Don Kobayashi notes,NA,NA,NA,NA,,,,,,collection site info from Clarke 1996,,,,,,-2000,publication,
AMS I.31530,email,23/08/2021,Gento Shinohara,"""Aprion virescens larval or juvenile specimens""",museum collection record,English,"museum record, NA","email from Gento, so far no env info",NA,NA,larv,none,1,East China Sea,"Kagoshima, Ryukus Islands","East China Sea, approx. 520 km SW of Kagoshima",NA,NA,30.486666667,129.46000000000,NA,NA,dmm,5 Oct. 1982,10,5,1982,5-Oct. 1982,T/V Kagoshima-maru,KA 82-IV St10(Sb),NA,,,,,,,,,#N/A,20:05,night,NA,NA,,1,T/V Kagoshima-maru_10/5/1982_NA_night,NA,285101,whole,"NA, given to Tokyo Museum by Australian museum but specimens are not in Specimen ROom at Tokyo Museum and are not listed on most recent specimen record from Australian Museum",Australian Museum,NA,NA,7,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NECI accession 8700238,,,,,NA,,,,,,-682,google_earth,
AMS I.31824,email,23/08/2021,Gento Shinohara,"""Aprion virescens larval or juvenile specimens""",museum collection record,English,"museum record, NA","email from Gento, so far no env info",NA,NA,larv,none,1,East China Sea,"Kagoshima, Ryukus Islands","East China Sea, approx. 520 km SW of Kagoshima",NA,NA,27.905000000,127.64500000000,27.9,0,dmm,3-Jul-84,7,3,1984,3-Jul-84,R/V Hakuho-maru,KH-84-2 7/3 PN-5-1,NA,,,,,,,,,#N/A,3:30,night,NA,40,40,1,R/V Hakuho-maru_7/3/1984_NA_night,NA,NA,whole,"NA, given to Tokyo Museum by Australian museum but specimens are not in Specimen ROom at Tokyo Museum and are not listed on most recent specimen record from Australian Museum",Australian Museum,NA,NA,7,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,,,-1151,google_earth,
AMS I.31978,email,23/08/2021,Gento Shinohara,"""Aprion virescens larval or juvenile specimens""",museum collection record,English,"museum record, NA","email from Gento, so far no env info",NA,NA,larv,none,1,East China Sea,Okinawa,"East China Sea, between Okinawa and Taiwan in Kuroshio Current",NA,NA,27.885000000,127.66500000000,27.88333333,0,dmm,3-Jul-84,7,3,1984,3-Jul-84,R/V Hakuho-maru,KH-84-7/3 PN-5-1,NA,,,,,,,,,#N/A,4:35,night,NA,200,200,1,R/V Hakuho-maru_7/3/1984_NA_night,NA,NA,whole,"NA, given to Tokyo Museum by Australian museum but specimens are not in Specimen ROom at Tokyo Museum and are not listed on most recent specimen record from Australian Museum",Australian Museum,NA,NA,7,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,,,-1052,google_earth,
