sample_record_identifier,source,date_searched,search_engine,search_terms,type_of_record,language,where_in_text?,doi,specimen record,paper title,life_stage,further_description,uku_present1_absent0,region,island,site,station,habitat_type,latitude_start_dd,longitude_start_dd,latitude_end_dd ,longitude_end_dd ,dms_or_dd,collection_date,collection_month,collection_day,collection_year,cruise_dates,ship_name,cruise_number,sampling_method,sampling_method_mesh_size_um,sampling_method_net_area_m2,sampling_method_net_diamteter_m,sampling_method_net_length_m,sampling method_tow_speed_no_unit,sampling method_tow_speed_unit,sampling_method_tow_time_minutes,sampling_distance_km_per_net_from_distance,sampling_distance_km_per_net_from_time,sampling_method_notes,sampling_method_tow_type,day_night,collection_depth_m_min,collection_depth_m_max,max_cast_depth(m),number_of_individuals,tow_id,number_of_uku_per_Vm^3,V_in_m^3,whole_part_or_DNA?,specimen_location,collected_by_person,identified_by_person,identified_by_insitiution,spawn_peak,avg_fork_length_mm_from_lot,length_mm,length_type,indiv_fork_length_mm,avg_standard_length_from_lot,indiv_standard_length_mm,indiv_total_length_mm,estimated_age_days,growth_model_used,visual_of_larvae,link_to_paper,community_composition,distance_to_shore_nm,prey_items_present_Y_N,which_prey_items,link_to_cruise_ctd_metadata,ctd_latitude,ctd_longitude,ctd_coord_type,ctd_date,notes,temp_at_colllection_depth,sal_at_depth,min_possible_temp,max_possible_temp,do,bottom depth_m,bottom_depth_method,number_of_nonuku_individuals_from tow,LAT_DD_JL,LON_DD_JL,Depth_m_v21_50m,Depth_m_v21_1km,Dist2Shore_m,Near_Island,X_shore,Y_shore,DistTo30m_m,X_30m,Y_30m
I.25000-028,email,25/03/2036,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-028,NA,larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,"3/4, station D","nearshore, thin sand and coral",21.348024900,-158.13086420000,NA,NA,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,"station info from other_remarks column of AuMu sheet, collection finro filled in from Jeff's thesis, 34m at 400m??? [6m (at 200m deep water)]",,night,0,1,1,1,"NA_7/5/1972_3/4, station D_night",1,673.6,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8078577,NA,NA,0.09,NA,NA,,,,,,"volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps",,,25.9,25.9,,-200,,1049,21.348024900,-158.13086420000,-2,-2,160.4987855,Oahu,-158.141,21.3719,221.6787,-158.149,21.36814
I.25000-029,email,25/03/2037,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-029,"Material examined - Leis & Lee, 1994. Eteline Larval Development.  Bull. Mar. Sci. 54(2).",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,5/4,"nearshore, sandy bottom",21.351520100,-158.13810500000,NA,NA,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,,night,0,1,1,1,NA_7/5/1972_5/4_night,2,662.5,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8078578,NA,NA,0.43,NA,NA,,,,,,"volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps",,,25.8,25.8,,,,127,21.351520100,-158.13810500000,-22,-22,797.0362161,Oahu,-158.131,21.35166,879.5452,-158.142,21.34703
I.25000-030,email,25/03/2038,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-030,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,1/4,"nearshore, ""mostly dead massive coral""",21.362308800,-158.13401000000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,9,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,,night,0,1,1,1,NA_7/5/1972_1/4_night,1,590.8,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8078579,NA,NA,0.04,NA,NA,,,,,,"volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps",,,26,26,,,,245,21.362308800,-158.13401000000,-1,-1,68.56147604,Oahu,-158.141,21.3719,221.6787,-158.149,21.36814
I.25000-031,email,25/03/2039,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-031,NA,larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,"6/3, station D","nearshore, reef",21.350649000,-158.14018440000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,50,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,,night,0,1,1,1,"NA_7/5/1972_6/3, station D_night",2,158.2,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8078580,NA,NA,0.53,NA,NA,,,,,,"volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps",,,,,,-200,,,21.350649000,-158.14018440000,-31,-31,988.1145465,Oahu,-158.141,21.3719,221.6787,-158.149,21.36814
I.25000-032,email,25/03/2040,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-032,NA,larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,"2/3, station D","nearshore, massive reef",21.354065200,-158.13066030000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,,night,0,1,1,1,"NA_7/5/1972_2/3, station D_night",1,511.7,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8078581,NA,NA,0.03,NA,NA,,,,,,"volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps",,,27.9,30,,-200,,255,21.354065200,-158.13066030000,-1,-1,63.1084394,Oahu,-158.141,21.3719,221.6787,-158.149,21.36814
I.25000-033,email,25/03/2041,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-033,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2). D",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,2/4,"nearshore, massive reef",21.354065200,-158.13066030000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,,night,0,1,1,1,NA_7/5/1972_44231_night,1,348.6,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8078582,NA,NA,0.03,NA,NA,"Station 2, tow 4",,,,,"volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps",,,27.9,30,,,,152,21.354065200,-158.13066030000,-1,-1,63.1084394,Oahu,-158.141,21.3719,221.6787,-158.149,21.36814
I.25000-034,email,25/03/2042,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-034,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,5/3,"nearshore, sandy bottom",21.351520100,-158.13810500000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,,night,0,1,1,1,NA_7/5/1972_44319_night,1,420.2,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,4.2,TL,NA,NA,NA,4.2,NA,NA,8078583,NA,NA,0.43,NA,NA,,,,,,"volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps",,,25.8,25.8,,,,301,21.351520100,-158.13810500000,-22,-22,797.0362161,Oahu,-158.141,21.3719,221.6787,-158.149,21.36814
I.25000-035,email,25/03/2043,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-035,NA,larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,"6/3, Station D","nearshore, reef",21.350649000,-158.14018440000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,50,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,,night,7.6,9.1,9.1,1,"NA_7/5/1972_6/3, Station D_night",2,158.2,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8078584,NA,NA,0.53,NA,NA,,,,,,"volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps",,,,,,,,,21.350649000,-158.14018440000,-28,-28,988.1145465,Oahu,-158.141,21.3719,221.6787,-158.149,21.36814
I.25000-036,email,25/03/2044,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-036,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,3/1,"nearshore, thin sand and coral",21.348024900,-158.13086420000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,,day,0,1,1,1,NA_7/5/1972_3/1_day,1,440,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8078585,NA,NA,0.09,NA,NA,,,,,,"volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps",,,25.9,25.9,,,,17,21.348024900,-158.13086420000,-1,-1,160.4987855,Oahu,-158.141,21.3719,221.6787,-158.149,21.36814
I.25000-037,email,25/03/2045,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-037,"Material examined - Leis & Lee, 1994",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,5/4,"nearshore, sandy bottom",21.351520100,-158.13810500000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,,night,0,1,1,1,NA_7/5/1972_5/4_night,2,662.5,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,3.3,TL,NA,NA,NA,3.3,NA,NA,8078586,NA,NA,0.43,NA,NA,,,,,,"volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps",,,25.8,25.8,,,,127,21.351520100,-158.13810500000,-22,-22,797.0362161,Oahu,-158.141,21.3719,221.6787,-158.149,21.36814
