"","X","moc_id","cruise_number","station","date","time","depth","temp","og_sal","angle","flow","speed","vvel","vol","net_number","sal","station_number"
"1",4,"TC8504_3_1","TC8504",3,"1985-09-06","19:59:32",2,26.27,41.2753,43,20,69.02,-30,86.8,1,34.952034712,3
"2",5,"TC8504_3_1","TC8504",3,"1985-09-06","19:59:52",7,26.12,41.279,40,21,14.53,-15,100.3,1,34.955734712,3
"3",6,"TC8504_3_1","TC8504",3,"1985-09-06","20:00:12",7,26.04,41.3033,37,24,34.51,0,114,1,34.980034712,3
"4",7,"TC8504_3_1","TC8504",3,"1985-09-06","20:00:32",7,26.14,41.28,44,26,34.51,-15,125.8,1,34.956734712,3
"5",8,"TC8504_3_1","TC8504",3,"1985-09-06","20:00:52",6,26.22,41.2847,40,30,92.13,20,140.7,1,34.961434712,3
"6",9,"TC8504_3_1","TC8504",3,"1985-09-06","20:01:12",7,26.13,41.2795,41,32,34.51,-15,154.8,1,34.956234712,3
"7",10,"TC8504_3_1","TC8504",3,"1985-09-06","20:01:32",10,25.93,41.4244,45,35,34.51,-30,168.9,1,35.101134712,3
"8",11,"TC8504_3_1","TC8504",3,"1985-09-06","20:01:52",11,25.87,41.3353,46,37,34.51,-15,182.5,1,35.012034712,3
"9",12,"TC8504_3_1","TC8504",3,"1985-09-06","20:02:12",14,25.82,41.3597,49,40,34.51,0,197.4,1,35.036434712,3
"10",13,"TC8504_3_1","TC8504",3,"1985-09-06","20:02:32",18,25.76,41.3688,48,42,34.51,-15,211,1,35.045534712,3
"11",14,"TC8504_3_1","TC8504",3,"1985-09-06","20:02:52",22,25.68,41.3485,46,45,25.09,-15,228,1,35.025234712,3
"12",15,"TC8504_3_1","TC8504",3,"1985-09-06","20:03:12",27,25.63,41.3862,48,48,34.51,-30,245.1,1,35.062934712,3
"13",16,"TC8504_3_1","TC8504",3,"1985-09-06","20:03:32",32,25.36,41.3995,46,50,39.46,-15,260.7,1,35.076234712,3
"14",17,"TC8504_3_1","TC8504",3,"1985-09-06","20:03:52",36,25.11,41.4003,50,53,34.51,-15,277,1,35.077034712,3
"15",18,"TC8504_3_1","TC8504",3,"1985-09-06","20:04:12",40,24.78,41.4126,43,55,34.51,15,292.6,1,35.089334712,3
"16",19,"TC8504_3_1","TC8504",3,"1985-09-06","20:04:32",44,24.59,41.4024,44,58,69.02,-15,306,1,35.079134712,3
"17",20,"TC8504_3_1","TC8504",3,"1985-09-06","20:04:52",46,24.52,41.4129,44,60,23.01,-15,319.9,1,35.089634712,3
"18",21,"TC8504_3_1","TC8504",3,"1985-09-06","20:05:12",48,24.41,41.3928,48,63,69.02,0,332.5,1,35.069534712,3
"19",22,"TC8504_3_1","TC8504",3,"1985-09-06","20:05:32",51,24.34,41.3883,48,66,34.51,0,349.2,1,35.065034712,3
