"","tow_id","net_number","min_sal","min_temp","max_sal","max_temp","mean_sal","mean_temp"
"1","TC8604_8","1",34.81243,25.74,34.82254,25.84,34.8185620833333,25.75875
"2","TC8604_8","4",34.81285,25.74,34.82021,25.77,34.81766,25.7477777777778
"3","TC8604_8","5",34.81326,25.75,34.83617,25.82,34.8254161748634,25.8056284153005
"4","TC8604_8","6",34.80789,25.8,34.83709,25.85,34.8255729444444,25.8126111111111
"5","TC8604_8","7",34.81037,25.8,34.84031,25.86,34.8240665921788,25.8331843575419
"6","TC8604_8","8",34.80766,25.8,34.83637,25.86,34.8222845,25.8342222222222
"7","TC8604_8","9",34.81503,25.81,34.83051,25.84,34.820865,25.8275
"8","TC8604_10","1",34.80678,25.72,34.82633,25.73,34.8136641176471,25.7279411764706
"9","TC8604_12","1",34.74235,26.22,34.76008,26.23,34.752865,26.22125
"10","TC8604_12","10",34.74666,26.24,34.75444,26.38,34.7525945454545,26.2645454545455
"11","TC8604_12","8",34.73591,26.21,34.7554,26.22,34.7483123888889,26.2127222222222
"12","TC8604_12","9",34.72957,26.21,34.76829,26.42,34.747376,26.2382777777778
"13","TC8604_13","1",34.74504,26.16,34.76459,26.25,34.7544593333333,26.2331666666667
"14","TC8604_13","10",34.74077,26.16,34.75566,26.17,34.7471442857143,26.1642857142857
"15","TC8604_13","8",34.76076,26.01,34.7843,26.06,34.776336,26.028
"16","TC8604_13","9",34.73383,26.01,34.77665,26.18,34.752984198895,26.1403867403315
"17","TC8604_14","1",34.74137,26.2,34.75915,26.24,34.7471879166667,26.21375
"18","TC8604_14","2",34.72038,26.2,34.82585,27.32,34.746373315508,26.2550802139037
"19","TC8604_14","3",34.72949,26.31,34.78511,26.99,34.7526576470588,26.4247058823529
"20","TC8604_16","1",34.74607,26.13,34.84943,26.43,34.76298375,26.37125
"21","TC8604_16","10",34.75267,26.25,34.75998,26.25,34.756325,26.25
"22","TC8604_16","7",34.75795,25.68,34.82021,26.23,34.7961395652174,25.874347826087
"23","TC8604_16","8",34.75795,26.05,34.78393,26.27,34.7656997765363,26.2256424581006
"24","TC8604_16","9",34.75576,26.24,34.77432,26.26,34.7647282702703,26.2528108108108
"25","TC8604_17","1",34.7473,25.74,34.86312,26.27,34.7683373529412,26.1541176470588
"26","TC8604_17","10",34.75467,26.21,34.76254,26.23,34.7612688888889,26.2233333333333
"27","TC8604_17","7",34.78018,25.69,34.82152,25.88,34.80824,25.77
"28","TC8604_17","8",34.75826,25.65,34.83731,26.25,34.7744391160221,26.1485082872928
"29","TC8604_17","9",34.75498,26.2,34.77509,26.25,34.7664528651685,26.2357303370786
"30","TC8604_2","1",34.81262,25.63,34.85259,25.91,34.8229188888889,25.7562962962963
"31","TC8604_2","8",34.81768,25.57,34.8347,25.75,34.8252594117647,25.6276470588235
"32","TC8604_2","9",34.80425,25.74,34.82802,25.89,34.8179981132075,25.8054088050314
"33","TC8604_29","1",34.94499,25.08,35.02381,25.38,34.9686525,25.3098076923077
"34","TC8604_29","10",34.94499,25.37,34.953,25.38,34.9465183333333,25.3716666666667
"35","TC8604_29","7",35.16096,24.97,35.1762,24.98,35.16582,24.977
"36","TC8604_29","8",34.93196,24.97,35.17748,25.39,35.1206972826087,25.0967391304348
"37","TC8604_29","9",19.44974,24.19,35.80551,25.39,34.8633375706215,25.3616949152542
"38","TC8604_3","1",34.79691,25.59,34.83502,25.93,34.8131724390244,25.7460975609756
"39","TC8604_3","10",34.80512,25.93,34.81335,25.94,34.80795,25.9333333333333
"40","TC8604_3","8",34.80851,25.65,34.82549,25.78,34.8175027108434,25.7014457831325
"41","TC8604_3","9",34.79865,25.75,34.82694,25.94,34.8118634831461,25.863202247191
"42","TC8604_30","1",34.94528,25.18,34.99849,25.37,34.96884,25.2651063829787
"43","TC8604_30","10",34.9376,25.37,34.94528,25.38,34.9402116666667,25.3766666666667
"44","TC8604_30","7",35.17651,24.96,35.17716,24.96,35.176835,24.96
"45","TC8604_30","8",34.94763,24.97,35.18493,25.37,35.1219465363128,25.0887709497207
"46","TC8604_30","9",34.93083,25.35,34.96303,25.39,34.9433022905028,25.3686592178771
"47","TC8604_31","1",34.93477,24.92,35.11104,25.49,34.973647037037,25.2594444444444
"48","TC8604_31","10",34.92738,25.49,34.93477,25.49,34.9322,25.49
"49","TC8604_31","7",35.19241,24.94,35.19241,24.94,35.19241,24.94
"50","TC8604_31","8",34.95565,24.96,35.18462,25.36,35.1188708333333,25.0696666666667
"51","TC8604_31","9",34.92512,25.2,35.02744,25.51,34.9506710614525,25.3965921787709
"52","TC8604_32","1",34.955,25.18,35.00789,25.57,34.9904948,25.4085333333333
"53","TC8604_32","10",34.95468,25.57,34.96239,25.57,34.95982,25.57
"54","TC8604_32","5",35.02547,24.62,35.07576,24.85,35.0480438764045,24.7498876404494
"55","TC8604_32","6",34.97481,24.8,35.04324,25.18,35.0020820555556,25.0502222222222
"56","TC8604_32","7",34.95826,25.12,34.98314,25.51,34.9714435555556,25.3028333333333
"57","TC8604_32","8",34.955,25.44,34.98466,25.57,34.9709678333333,25.5396111111111
"58","TC8604_32","9",34.955,25.57,34.95531,25.57,34.9550775,25.57
"59","TC8604_33","1",34.9654,24.75,35.05657,25.52,35.0019377777778,25.1428888888889
"60","TC8604_33","10",34.97026,25.52,34.97057,25.52,34.970415,25.52
"61","TC8604_33","5",34.98984,24.64,35.0754,25.1,35.0406546067416,24.7881460674157
"62","TC8604_33","6",34.96475,25,35.02112,25.28,34.9884417514124,25.1574011299435
"63","TC8604_33","7",34.96175,25.28,35.00014,25.48,34.9766374585635,25.3751933701657
"64","TC8604_33","8",34.9632,25.48,34.98495,25.53,34.9748841436464,25.5098895027624
"65","TC8604_33","9",34.97057,25.52,34.97089,25.52,34.9706766666667,25.52
"66","TC8604_34","1",34.93534,24.77,35.04846,25.47,35.0020329545455,25.1659090909091
"67","TC8604_34","10",34.92795,25.47,34.93565,25.47,34.9318,25.47
"68","TC8604_34","7",35.0855,24.95,35.11527,25.04,35.1017228571429,25.02
"69","TC8604_34","8",34.93713,25,35.11625,25.44,35.0237819774011,25.1794350282486
"70","TC8604_34","9",34.92382,25.42,34.94856,25.48,34.9381827607362,25.4634355828221
"71","TC8604_35","1",34.96193,24.15,35.18198,25.36,35.0167855172414,25.1106896551724
"72","TC8604_35","4",35.04846,24.75,35.06436,24.77,35.05446,24.7625
"73","TC8604_35","5",34.99761,24.74,35.06563,25.1,35.0370965340909,24.8303977272727
"74","TC8604_35","6",34.97923,25.04,35.02018,25.34,34.9908175,25.1733333333333
"75","TC8604_35","7",34.97695,25.32,35.00007,25.38,34.9883026666667,25.3691111111111
"76","TC8604_35","8",34.97427,25.35,34.99582,25.38,34.9865225,25.3610714285714
"77","TC8604_36","1",35.01395,24.83,35.06144,25,35.0383114285714,24.9078571428571
"78","TC8604_36","10",34.98152,25.3,34.98152,25.3,34.98152,25.3
"79","TC8604_36","4",35.02419,24.76,35.05657,24.86,35.0374583333333,24.83
"80","TC8604_36","5",34.98179,24.74,35.06468,25.09,35.033532,24.8730666666667
"81","TC8604_36","6",35.02388,24.73,35.07245,24.94,35.0500011363636,24.8389772727273
"82","TC8604_36","7",34.97416,24.91,35.09187,25.24,34.9974969633508,25.1352879581152
"83","TC8604_36","8",34.96585,25.18,35.01146,25.36,34.9840438095238,25.2506547619048
"84","TC8604_36","9",34.97356,25.33,34.99517,25.38,34.9847271428571,25.3428571428571
"85","TC8604_37","1",34.96502,25.35,34.98749,25.39,34.9751474766355,25.3776635514019
"86","TC8604_37","2",34.96109,25.35,34.98778,25.39,34.9703209714286,25.3851428571429
"87","TC8604_37","3",34.96849,25.38,34.96882,25.39,34.968616,25.388
"88","TC8604_39","1",35.01798,24.86,35.2327,25.31,35.0685517777778,25.214
"89","TC8604_39","10",35.02319,25.27,35.05312,25.31,35.0338265384615,25.3019230769231
"90","TC8604_39","8",35.21203,24.79,35.21919,24.8,35.21561,24.795
"91","TC8604_39","9",35.02964,24.85,35.21908,25.3,35.1836725555556,24.9572777777778
"92","TC8604_40","1",35.0195,24.86,35.20894,25.29,35.1345910169492,25.0377966101695
"93","TC8604_40","2",35.01084,24.86,35.19401,25.33,35.0484864497041,25.2350295857988
"94","TC8604_40","3",35.00631,25.28,35.02267,25.31,35.0169116666667,25.2983333333333
"95","TC8604_41","1",35.00263,24.76,35.22801,25.48,35.0789536842105,25.1664912280702
"96","TC8604_41","10",35.03063,25.48,35.03835,25.48,35.03567,25.48
"97","TC8604_41","7",35.22054,24.76,35.22054,24.76,35.22054,24.76
"98","TC8604_41","8",35.19866,24.75,35.22836,24.85,35.2099787570621,24.8128248587571
"99","TC8604_41","9",35.02254,24.91,35.19917,25.52,35.0662121666667,25.3101666666667
"100","TC8604_45","1",35.00033,24.83,35.23343,25.46,35.108966969697,25.1742424242424
"101","TC8604_45","10",35.03266,25.4,35.04009,25.41,35.0375066666667,25.4066666666667
"102","TC8604_45","7",35.21137,24.81,35.21949,24.81,35.2151810526316,24.81
"103","TC8604_45","8",35.03383,24.81,35.21949,25.43,35.1535568478261,25.0242391304348
"104","TC8604_45","9",35.02735,25.4,35.04907,25.43,35.0369278089888,25.416404494382
"105","TC8604_46","1",35.01438,24.76,35.24954,25.41,35.083847037037,25.2325925925926
"106","TC8604_46","1.1",35.04197,25.4,35.04197,25.4,35.04197,25.4
"107","TC8604_46","7",35.17519,24.05,35.21799,24.43,35.19934,24.1871428571429
"108","TC8604_46","8",35.02152,24.05,35.22859,25.42,35.2063628409091,24.6486363636364
"109","TC8604_46","9",35.02778,25.16,35.12529,25.42,35.0408695321637,25.4038596491228
"110","TC8604_47","1",34.99706,24.86,35.21649,25.35,35.0779980487805,25.1919512195122
"111","TC8604_47","10",34.95303,25.38,34.96044,25.38,34.95797,25.38
"112","TC8604_47","7",35.18628,24.88,35.2025,24.9,35.19521,24.89
"113","TC8604_47","8",34.96067,24.89,35.20248,25.42,35.1503104651163,25.0121511627907
"114","TC8604_47","9",34.95209,25.36,34.99269,25.42,34.9640297727273,25.3846590909091
"115","TC8604_5","1",34.79538,25.61,34.84091,25.91,34.8133775757576,25.8178787878788
"116","TC8604_5","10",34.81768,25.99,34.82529,26.01,34.8241622222222,26.0033333333333
"117","TC8604_5","7",34.81337,25.63,34.83784,25.73,34.821081,25.68
"118","TC8604_5","8",34.80626,25.61,34.83837,25.81,34.8172770879121,25.7526923076923
"119","TC8604_5","9",34.80164,25.8,34.82565,26.05,34.8114263483146,25.9355056179775
"120","TC8604_6","1",34.81135,25.81,34.83343,26.06,34.8216322580645,25.8416129032258
"121","TC8604_6","10",34.81658,26.06,34.8315,26.07,34.824115,26.065
"122","TC8604_6","4",34.8113,25.79,34.81891,25.8,34.81577,25.798
"123","TC8604_6","5",34.80267,25.78,34.82607,25.87,34.8134762857143,25.8318571428571
"124","TC8604_6","6",34.80926,25.86,34.82613,25.91,34.8169169060773,25.8794475138122
"125","TC8604_6","7",34.81165,25.89,34.82898,25.96,34.8215020765027,25.915956284153
"126","TC8604_6","8",34.80676,25.89,34.82955,26,34.8189488135593,25.9570056497175
"127","TC8604_6","9",34.80899,25.95,34.83854,26.07,34.8223142777778,26.0041666666667
"128","TC8604_7","1",34.80487,25.75,34.83446,25.85,34.8159191666667,25.8258333333333
"129","TC8604_7","10",34.81318,25.88,34.82876,25.9,34.8208083333333,25.8941666666667
"130","TC8604_7","4",34.81867,25.78,34.83368,25.81,34.824265,25.7995833333333
"131","TC8604_7","5",34.8184,25.75,34.82762,25.82,34.823023,25.79625
